BATALHAO,CIA,INDICADOR,ANO,MES,MES_INT,QUANTIDADE
48º BPM/M,1ª Cia - Jardim Robru,ROUBO OUTROS,2026,Junho,6,37
48º BPM/M,1ª Cia - Jardim Robru,ROUBO VEÍCULO,2026,Junho,6,3
48º BPM/M,2ª Cia - Lajeado,FURTO OUTROS,2026,Junho,6,84
48º BPM/M,2ª Cia - Lajeado,FURTO VEÍCULO,2026,Junho,6,17
48º BPM/M,2ª Cia - Lajeado,HOMICÍDIO DOLOSO,2026,Junho,6,0
48º BPM/M,2ª Cia - Lajeado,ROUBO OUTROS,2026,Junho,6,55
48º BPM/M,2ª Cia - Lajeado,ROUBO VEÍCULO,2026,Junho,6,8
48º BPM/M,3ª Cia - Cohab Itaquera,FURTO OUTROS,2026,Junho,6,85
48º BPM/M,3ª Cia - Cohab Itaquera,FURTO VEÍCULO,2026,Junho,6,15
48º BPM/M,3ª Cia - Cohab Itaquera,HOMICÍDIO DOLOSO,2026,Junho,6,0
48º BPM/M,3ª Cia - Cohab Itaquera,ROUBO OUTROS,2026,Junho,6,59
48º BPM/M,3ª Cia - Cohab Itaquera,ROUBO VEÍCULO,2026,Junho,6,5
